customer_id,full_name,email,city,segment,swiggy_one_member,phone,marketing_opt_in,signup_date
SWGY14963,Aadhya Bose,aadhya.bose261@gmail.com,Delhi,Swiggy One Member,True,+914922073556,True,2023-08-17
SWGY10194,Aadhya Bose,aadhya.bose340@outlook.com,Nellore,New,False,,True,2024-07-18
SWGY14925,Aadhya Bose,aadhya.bose380@outlook.com,Kochi,Frequent Orderer,True,+915135920766,True,2024-11-10
SWGY11872,Aadhya Bose,aadhya.bose438@yahoo.com,Chennai,Churned,False,+918175248135,True,2024-12-24
SWGY12011X,Aadhya Bose,aadhya.bose443@outlook.com,Kochi,Dormant,False,,True,2024-11-19
SWGY14518,Aadhya Bose,aadhya.bose546@hotmail.com,Hyderabad,Dormant,False,+910986681986,False,2023-07-02
SWGY10757,Aadhya Bose,aadhya.bose736@yahoo.com,Jaipur,Unclassified,False,+913351040961,False,2023-08-14
SWGY15257,Aadhya Bose,aadhya.bose955@gmail.co,Hyderabad,Dormant,False,+912076937745,True,2024-07-14
SWGY12776,Aadhya Chatterjee,aadhya.chatterjee129@gmail.com,Nellore,Frequent Orderer,False,+916137698237,True,2024-07-01
SWGY12999,Aadhya Chatterjee,aadhya.chatterjee195@hotmail.com,Noida,Frequent Orderer,False,,True,2023-07-26
SWGY10139,Aadhya Chatterjee,aadhya.chatterjee285@gmail.com,Mumbai,Swiggy One Member,True,,False,2025-03-17
SWGY12941X,Aadhya Chatterjee,aadhya.chatterjee38@gmail.co,Hyderabad,Frequent Orderer,False,,False,2024-09-02
SWGY10727,Aadhya Chatterjee,aadhya.chatterjee493@gmail.com,Kolkata,Frequent Orderer,True,+910666267055,False,2025-01-01
SWGY10169,Aadhya Chatterjee,aadhya.chatterjee534@hotmail.com,Noida,Frequent Orderer,False,+911085899441,True,2024-05-23
SWGY11673,Aadhya Chatterjee,aadhya.chatterjee820@gmail.com,Pune,New,False,,True,2023-06-13
SWGY14412,Aadhya Chatterjee,aadhya.chatterjee83@gmail.com,Noida,New,False,+914518893477,False,2024-08-10
SWGY12535,Aadhya Chatterjee,aadhya.chatterjee850@outlook.com,Ahmedabad,Dormant,False,+915908557657,False,2024-06-18
SWGY14219,Aadhya Chatterjee,aadhya.chatterjee955@outlook.com,Hyderabad,Churned,False,+915535597879,True,2023-11-24
SWGY12500,Aadhya Chatterjee,aadhya.chatterjee969@hotmail.com,Kolkata,Churned,False,+917887978884,True,2024-03-15
SWGY15616,Aadhya Das,aadhya.das184@yahoo.com,Lucknow,Frequent Orderer,False,+911422354801,False,2025-02-23
SWGY12164,Aadhya Das,aadhya.das258@yahoo.com,Kochi,Frequent Orderer,False,+916633756184,False,2024-09-28
SWGY13154,Aadhya Das,aadhya.das443@gmail.co,Jaipur,Frequent Orderer,False,+917164022612,True,2024-08-30
SWGY10058,Aadhya Das,aadhya.das53@outlook.com,Noida,Churned,False,+915198327315,True,2025-04-12
SWGY15517,Aadhya Das,aadhya.das615@gmail.com,Jaipur,Frequent Orderer,False,+917002855823,True,2024-09-11
SWGY12197X,Aadhya Das,aadhya.das668@gmail.co,Pune,Frequent Orderer,False,+914802455985,True,2023-09-05
SWGY11692,Aadhya Das,aadhya.das68@gmail.com,Mumbai,Dormant,False,+911313555794,False,2023-07-17
