customer_id,full_name,email,phone,city,signup_date,segment,swiggy_one_member,marketing_opt_in
SWGY10000,Rohan Reddy,,60013 38908, Bengaluru ,2024-03-08,Frequent Orderer,False,
SWGY10001,Riya Rao,riya.rao285@yahoo.com,, Kochi ,06-07-2023,Dormant,False,No
SWGY10002,Divya Chatterjee,divya.chatterjee371@hotmail.com,,mumbai,2024-12-17,Frequent Orderer,False,1
SWGY10003,Diya Patel,diya.patel651@yahoo.com,+91-32764-83503,ahmedabad,29/02/2024,Dormant,False,yes
SWGY10004,Aditya Patel,aditya.patel406@gmail.co,23884 96965,LUCKNOW,01-01-2025,Dormant,False,
SWGY10005,Aditya Verma,,+91-97848-01845,noida,21/09/2023,New,False,Y
SWGY10006,Myra Sharma,myra.sharma109@outlook.com,(893) 252-8809, Jaipur ,2024-02-25,Churned,False,No
SWGY10007,Divya Das,divya.das81@gmail.com,1822782489,LUCKNOW,04-10-2024,Frequent Orderer,False,N
SWGY10008,Karthik Menon,karthik.menon530@gmail.co,+91-31509-83930,Kolkata,2025-04-18,Swiggy One Member,True,No
SWGY10009,Nikhil Verma,nikhil.verma220@hotmail.com,(997) 376-3116, Noida ,04/05/2024,New,False,
SWGY10010,Pooja Verma,pooja.verma348@gmail.com,,Ahmedabad,2025-03-31,Churned,True,Yes
SWGY10011,Aditya Singh,aditya.singh61@yahoo.com,,,07-21-2024,,False,Yes
SWGY10012,Priya Khan,priya.khan874@hotmail.com,81219 13619,Bengaluru,07-22-2023,Swiggy One Member,True,No
SWGY10013,Aadhya Pillai,aadhya.pillai322@yahoo.com,+91-24751-07991,VIJAYAWADA,11-17-2024,Frequent Orderer,False,yes
SWGY10014,Arjun Das,arjun.das854@hotmail.com,,LUCKNOW,10/08/2023,Dormant,False,yes
SWGY10015,Ira Patel,ira.patel501@outlook.com,, Jaipur ,05-17-2024,New,False,0
SWGY10016,Navya Sharma,navya.sharma37@outlook.com,,Mumbai,17/08/2023,Churned,False,0
SWGY10017,Ira Iyer,IRA.IYER903@GMAIL.CO,56342 16073, Lucknow ,29/01/2024,Dormant,False,yes
SWGY10018,Vikram Singh,vikram.singh286@gmail.com,914586850142,hyderabad,2023-06-25,Swiggy One Member,True,No
SWGY10019,Ira Mehta,ira.mehta922@hotmail.com,910608835615,pune,04-17-2024,Frequent Orderer,False,No
SWGY10020,Priya Menon,priya.menon714@outlook.com,(366) 299-4680,nellore,2024-04-12,Swiggy One Member,True,0
SWGY10021,Neha Pillai,neha.pillai524@gmail.co,21489 51343,VIJAYAWADA,2025-04-01,Frequent Orderer,False,Yes
SWGY10022,Sai Kapoor,sai.kapoor736@gmail.co,913201632870,VIJAYAWADA,2023-08-14,Frequent Orderer,False,
SWGY10023,Arjun Joshi,arjun.joshi913@gmail.co,918687277434, Ahmedabad ,11-25-2024,Churned,False,N
SWGY10024,Ayaan Joshi,ayaan.joshi554@gmail.com,3623166587,Mumbai,2025-05-31,Frequent Orderer,False,0
SWGY10025,Saanvi Pillai,,6688937346,Jaipur,21/06/2023,,False,1
SWGY10026,Sneha Chatterjee,sneha.chatterjee547@gmail.com,9901627204,jaipur,2023-11-17,Dormant,False,
SWGY10027,Ananya Khan,ananya.khan855@gmail.com,918053100330,KOCHI,2024-06-23,Frequent Orderer,False,Y
SWGY10028,Pari Reddy,pari.reddy621@hotmail.com,,VIJAYAWADA,2024-01-10,Frequent Orderer,False,N
SWGY10029,Ishaan Menon,ishaan.menon580@gmail.com,(651) 850-6716, Noida ,05-01-2025,Swiggy One Member,True,Y
SWGY10030,Aadhya Nair,aadhya.nair552@gmail.co,919453147379, Jaipur ,16/11/2024,Churned,False,Yes
SWGY10031,Pari Khan,pari.khan902@hotmail.com,48083 13678, Delhi ,10-12-2024,New,False,
SWGY10032,Myra Sharma,myra.sharma596@outlook.com,85685 57444,Mumbai,03-28-2024,Frequent Orderer,False,N
SWGY10033,Ananya Reddy,ananya.reddy757@gmail.co,(989) 413-4352,Jaipur,11-30-2024,Churned,False,Y
SWGY10034,Ayaan Verma,ayaan.verma771@gmail.co,0947775204,Bengaluru,2024-12-18,Frequent Orderer,False,0
SWGY10035,Pari Gupta,,1318699938, Vijayawada ,06/03/2025,Swiggy One Member,True,yes
SWGY10036,Pooja Pillai,pooja.pillai984@gmail.com,+91-33412-32812, Kolkata ,08/04/2024,Swiggy One Member,True,
SWGY10037,Krishna Verma,krishna.verma704@yahoo.com,+91-93618-32421,HYDERABAD,22/03/2024,Dormant,False,yes
SWGY10038,Myra Reddy,myra.reddy553@gmail.co,,Gurugram,05-06-2025,Frequent Orderer,False,yes
SWGY10039,Riya Verma,riya.verma186@hotmail.com,7175655125, Kochi ,27/11/2023,Frequent Orderer,False,0
SWGY10040,Vikram Bose,vikram.bose792@gmail.co,, Bengaluru ,2024-09-08,New,False,N
SWGY10041,Ayaan Bose,ayaan.bose997@hotmail.com,+91-24808-61317,DELHI,21/03/2024,Frequent Orderer,False,yes
SWGY10042,Anika Rao,anika.rao393@yahoo.com,,kolkata,10-07-2024,Churned,False,
SWGY10043,Pooja Iyer,pooja.iyer387@gmail.co,3396360576,GURUGRAM,03/12/2024,Frequent Orderer,False,Yes
SWGY10044,Arjun Malhotra,ARJUN.MALHOTRA539@GMAIL.CO,(262) 174-5961, Vijayawada ,05/05/2024,Dormant,False,
SWGY10045,Pooja Bose,pooja.bose233@gmail.com,(117) 240-0504,bengaluru,22/02/2025,New,False,Y
SWGY10046,Sai Malhotra,sai.malhotra180@gmail.com,(693) 792-3747,Kolkata,31/12/2024,Swiggy One Member,True,yes
SWGY10047,Sneha Bose,sneha.bose655@gmail.co,917436713695,,08-15-2023,Frequent Orderer,False,yes
SWGY10048,Aarav Chatterjee,aarav.chatterjee763@gmail.com,,Chennai,06-09-2023,Swiggy One Member,True,Yes
SWGY10049,Krishna Joshi,krishna.joshi335@gmail.co,,bengaluru,2025-01-14,Frequent Orderer,False,
